RBM3	RBM3	1.000	128	0	0	1	128	1	128	7.483E-81	256
HNRNPF	HNRNPH2	0.732	403	102	0	1	383	1	403	1.836E-202	622
ILF2	ILF2	1.000	376	0	0	1	376	15	390	2.872E-244	740
FUBP1	FUBP1	0.966	443	15	0	6	448	3	442	5.002E-285	863
CELF4	BRU-3	0.546	369	152	0	16	351	48	416	1.287E-105	338
HNRNPA2B1	HNRNPA2B1	1.000	233	0	0	1	233	1	233	5.778E-149	460
HNRNPA2B1	hnrnpa0b	0.539	239	101	0	16	254	3	223	9.370E-69	228
SRSF4	B52	0.640	220	70	0	3	197	5	224	1.653E-79	255
SRSF4	rsp-1	0.520	220	93	0	3	197	4	223	7.571E-59	195
SRSF4	rsp-2	0.497	208	98	0	1	196	1	208	1.947E-58	194
SRSF4	SRSF1	0.446	183	98	0	3	179	17	199	1.219E-38	137
SRSF4	SRSF9	0.431	193	106	0	3	195	15	202	1.842E-36	130
PABPC5	PABPC5	1.000	382	0	0	1	382	1	382	1.052E-260	788
PABPC5	PABPC4	0.669	363	119	0	15	377	8	369	4.745E-160	497
PABPC5	PABPC1	0.655	363	125	0	15	377	8	369	1.234E-156	488
PABPC5	PABPC3	0.622	363	136	0	15	377	8	369	2.157E-146	458
PABPC5	PABP	0.575	362	153	0	18	377	2	363	2.229E-128	406
PABPC5	pab-1	0.505	380	186	0	2	377	14	393	1.995E-115	368
PABPC5	Smp_024140	0.498	362	181	0	16	377	11	372	1.302E-111	357
PABPC5	pabpc1A	0.498	362	177	0	16	377	8	361	4.566E-111	356
PABPC5	Tb_0253	0.372	376	235	0	4	379	7	381	8.505E-75	250
PABPC5	Lm_0255	0.366	356	224	0	19	374	9	363	5.439E-64	219
PABPC5	LmjF.25.0080	0.343	358	235	0	17	374	7	364	1.031E-54	192
PABPC5	TVAG_371220	0.317	357	235	0	20	364	8	364	6.810E-46	166
ELAVL1	HuR	1.000	325	0	0	1	325	1	325	1.082E-219	666
ELAVL1	FNE	0.591	336	128	0	12	324	18	353	1.014E-122	387
ELAVL1	RBP9	0.601	333	122	0	19	324	48	380	9.165E-122	384
ELAVL1	ELAV	0.531	335	143	0	19	324	48	382	4.138E-105	336
ELAVL1	NEMVEDRAFT_v1g214798	0.465	331	174	0	1	326	1	331	1.605E-90	293
SNU13	NHP2L1	1.000	132	0	0	1	132	1	132	3.761E-83	261
CELF1	ETR-1	0.443	533	261	0	8	477	47	579	8.903E-107	348
CELF1	BRUNOL5	0.444	478	249	0	8	485	36	484	2.438E-104	341
CELF1	BRUNOL6	0.437	485	254	0	1	485	29	480	2.161E-103	338
CELF1	BRUNOL4	0.438	485	254	0	1	485	28	480	1.099E-100	331
CELF1	UNC-75	0.406	489	281	0	12	485	25	513	2.188E-98	324
CELF1	BRU-3	0.425	398	222	0	88	485	29	415	8.196E-75	255
ZC3H10	ZC3H10	1.000	434	0	0	1	434	1	434	4.327E-282	853
RBM38	RBM24	0.678	222	69	0	23	237	1	222	1.507E-89	286
HNRNPH2	HNRNPH2	1.000	408	0	0	1	408	1	408	7.181E-277	836
SRSF5	B52	0.583	239	86	0	1	208	1	239	5.651E-71	231
SRSF5	rsp-1	0.508	228	101	0	5	211	4	231	5.478E-55	185
SRSF5	rsp-2	0.465	206	105	0	5	202	3	208	3.269E-50	171
SRSF9	SRSF9	1.000	207	0	0	1	207	1	207	2.881E-143	439
SRSF9	SRSF1	0.699	202	57	0	1	190	1	202	5.586E-87	277
SRSF9	CBG03563	0.572	208	83	0	8	203	3	210	6.955E-73	236
SRSF9	rsp-3	0.565	208	85	0	8	203	3	210	1.306E-72	235
SRSF9	rsp-1	0.340	219	124	0	15	203	4	222	1.354E-25	99
ELAVL3	HuR	0.679	331	99	0	35	365	16	325	5.950E-150	467
ELAVL3	FNE	0.583	343	141	0	24	363	10	352	9.704E-124	392
ELAVL3	RBP9	0.601	334	130	0	36	363	46	379	7.884E-122	386
ELAVL3	ELAV	0.523	347	162	0	24	363	35	381	3.388E-108	347
ELAVL3	EXC-7	0.455	418	180	0	36	367	39	456	6.170E-99	320
ELAVL3	NEMVEDRAFT_v1g214798	0.465	334	175	0	34	367	5	332	1.872E-91	298
PCBP2	PCBP2	0.912	365	29	0	1	365	1	335	1.212E-208	637
PCBP2	PCBP1	0.825	365	62	0	1	365	1	356	6.137E-186	571
PCBP2	Pcbp2	0.784	362	68	0	1	362	1	315	5.421E-172	531
PCBP2	PCBP3	0.706	363	99	0	1	363	1	337	1.234E-154	481
ELAVL4	HuR	0.718	320	86	0	45	364	19	325	4.477E-157	488
ELAVL4	RBP9	0.603	355	138	0	14	362	25	379	2.367E-129	408
ELAVL4	FNE	0.624	331	120	0	42	362	22	352	3.612E-127	402
ELAVL4	ELAV	0.538	353	155	0	28	363	30	382	1.745E-111	356
ELAVL4	EXC-7	0.433	447	192	0	27	366	10	456	8.208E-102	328
ELAVL4	NEMVEDRAFT_v1g214798	0.469	332	176	0	35	366	1	332	3.765E-92	300
RBM47	RBM47	0.938	323	20	0	1	321	8	330	9.484E-208	632
RBM47	Rbm47	0.889	325	36	0	1	321	8	332	1.744E-197	602
RBM47	A1CF	0.719	317	88	0	3	319	10	323	1.714E-158	490
RBM47	RBM46	0.756	292	71	0	2	293	9	300	4.588E-152	471
RBM47	HNRNPR	0.571	303	129	0	1	303	6	307	2.421E-111	353
